label,message,source
1,"Your account has been blocked. To restore access, kindly call the number displayed and verify your details.",field_scam
1,"Dear customer, your momo wallet has been suspended due to suspicious login. Call now to unlock it.",field_scam
1,"You have received GH¢2,750 mistakenly. Please send back the amount immediately before reversal fee is applied.",field_scam
1,MTN Alert: Your line will be disconnected tonight. Reply with your OTP to confirm ownership.,field_scam
1,"Brother, I dey Ghana Post. Your parcel is here but tax must be settled today. Send the fee so we release am.",field_scam
1,"Your bank account is blocked. To avoid permanent freeze, send your card details and OTP now.",field_scam
1,Your MoMo reversal has been approved. Kindly confirm by sending the code to our officer.,field_scam
1,Congrats! Your number won a reward. Pay GH¢45 processing fee to receive it today.,field_scam
1,Account blocked due to invalid login attempt. Please visit the link we sent to verify your wallet.,field_scam
1,Momo department: urgent! Your KYC is incomplete. Reply with your full name and OTP before 5pm.,field_scam
1,"Ei boss, your package no reach. Sender said duty not paid. Send small money make we release am.",field_scam
1,"Your transaction of GH¢1,200 is pending. If not yours, call this number immediately to cancel.",field_scam
1,"Hello dear, we have blocked your wallet for security. Send your PIN so we unblock it for you.",field_scam
1,You are selected for a business grant. Pay a registration fee to activate your payment today.,field_scam
1,We detected unusual activity on your card. Reply with the OTP and expiry date to keep account active.,field_scam
1,Your number has been shortlisted. Please send GH¢30 for confirmation and prize delivery.,field_scam
1,Please confirm your address and send the one-time code. Courier team cannot proceed without it.,field_scam
1,"Your wallet is blocked. To avoid charges, call us now. Do not ignore this message.",field_scam
1,"Hi sis, I sent you money by mistake. Please return it asap before my bank report the case.",field_scam
1,Account locked. We noticed unusual transfer. Contact support to stop further deductions.,field_scam
1,Your ATM card will expire today. Kindly verify your account now using the link below.,field_scam
1,"Hello, this is the reversal desk. Your refund is ready but we need the code from your SMS to process it.",field_scam
1,Your loan application is approved. Pay the admin fee now to receive the funds in 10 minutes.,field_scam
1,"Dear customer, kindly reconfirm your details. Failure to respond will block your account permanently.",field_scam
1,"Final notice: account suspended. To prevent further loss, reply with the 6-digit code sent to you.",field_scam
0,Your airtime bundle has been activated successfully. Thank you for using our service.,field_legit
0,Your data bundle purchase was successful. No action required.,field_legit
0,"Charlie, I dey town. Call me when free, we need talk about project.",field_legit
0,Appointment reminder: Your clinic visit is scheduled for tomorrow at 9:00 AM.,field_legit
0,You coming to chapel later? Bring the charger abeg.,field_legit
